,Spec Id,ItemName - Sleek,ItemName,Invoice,1,2-5,6-10,11-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200
76,,BENCH W/O KICKPLATE NEW CREZON - SAV APPLIED,,,180,150,130,117,94,0,0,0,0,0,0
77,,KICK PLATE W/O BENCH REPURPOSED CREZON - SAV APPLIED,,,65,35,30,0,0,0,0,0,0,0,0
78,,KICK PLATE W/O BENCH NEW CREZON - SAV APPLIED,,,125,95,90,0,0,0,0,0,0,0,0
79,,BUS HEADLINERS 355” X 14.5”,,,110,105,98,95,93,91,81,0,0,0,0
80,,BUS HEADLINERS NO LAM - 355” X 14.5”,,,100,96,88,86,84,82,77,0,0,0,0
81,,"KONG 186"" X 38""",,,240,230,218,214,207,205,199,0,0,0,0
82,,KONG NO LAM - 186” X 38”,,,195,189,182,177,175,172,168,0,0,0,0
83,,BUS MURALS DRIVER SIDE,,,850,750,740,720,690,670,0,0,0,0,0
84,,BUS MURALS CURB SIDE,,,725,675,650,630,620,610,0,0,0,0,0
85,,CURB MINI MURAL CURB SIDE,,,578,510,503,489,469,455,0,0,0,0,0
86,,ULTRA TAIL,,,225,190,185,180,175,170,0,0,0,0,0
87,,HALF TAIL,,,135,115,110,95,90,85,0,0,0,0,0
88,,SUPERBUS,,,4450,4350,4100,3850,3780,3730,0,0,0,0,0
