Ticket No,Invoice No,Status,Exception
9506,,Fail,exceptions must derive from BaseException
9507,,Fail,exceptions must derive from BaseException
9577,,Fail,list index out of range
9586,,Fail,unsupported operand type(s) for |: 'NoneType' and 'NoneType'
9588,39928,Success,None
9589,39929,Success,None
9590,39930,Success,None
9591,39931,Success,None
9592,39932,Success,None
9593,39933,Success,None
9594,39934,Success,None
9596,39935,Success,None
9597,39936,Success,None
9598,39937,Success,None
9599,39938,Success,None
9600,39939,Success,None
9602,39940,Success,None
9601,39941,Success,None
9603,39942,Success,None
9604,39943,Success,None
9606,39944,Success,None
9607,39945,Success,None
9609,39947,Success,None
9608,39946,Success,None
9611,39948,Success,None
9610,39949,Success,None
9612,39950,Success,None
9613,39951,Success,None
9653,39968,Success,None
9654,,Fail,list index out of range
9656,39969,Success,None
9655,,Fail,'invoice'
9657,,Fail,list index out of range
9658,,Fail,list index out of range
9659,39970,Success,None
9660,39971,Success,None
9661,39972,Success,None
9663,39973,Success,None
9664,39974,Success,None
9665,39975,Success,None
9666,,Fail,list index out of range
9668,,Fail,list index out of range
9669,39976,Success,None
9670,39977,Success,None
9672,39978,Success,None
9673,39979,Success,None
9674,39980,Success,None
9675,,Fail,list index out of range
9677,,Fail,list index out of range
